sample_id,source_stage,original_image_name,original_split,final_image_name,final_split,has_target,target_color,target_type,background_type,negative_type,bbox_x,bbox_y,bbox_w,bbox_h,bbox_px_size,rotation_deg,perspective_level,blur_type,blur_level,motion_blur_length,motion_blur_angle,lighting_type,lighting_level,shadow_level,glare_level,exposure_level,color_shift_level,notes,image_hash,label_hash
stage2_000001,stage2,stage2v2_000638.jpg,train,stage2_000001.jpg,train,1,red,square,dry_grass,none,334,122,108,112,112,16.302,0.02868,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,4791f277b1ca101664b15e8a6efc7e4d9f5b9f141744861502da58c122234b20,05cb499f0427f2b118b798f8d608e87983276e9d14faebf3ec220c3607c6a9c2
stage4_000001,stage4,stage4v2_007520.jpg,train,stage4_000001.jpg,train,1,blue,square,grass,none,117,258,282,281,282,-13.999,0.00482,none,none,0,0,shadow,medium,medium,none,normal,none,size_bucket=large;augmentation=shadow,de8a335efccb69b2bf735aeeb6c921682ae4eede9d7e3f36e0ea47bdf40c1f5b,95406360649f52e39c94de10fbd0a128ea9722fe0b61bc5fcf091606a127c311
stage3_000001,stage3,stage3v2_001992.jpg,train,stage3_000001.jpg,train,1,red,square,grass,none,125,439,184,185,185,-13.652,0.00099,none,none,0,0.000,none,normal,none,none,none,none,size_bucket=large;augmentation=clean,068c596b841024b1e86ea3f57252adeacb0b19bdcd98d8815d1c7b70aeb1cea2,56a6d23882e1ce292664e9da580f139236024cf1687bfee38cc9da036da85588
stage3_000002,stage3,stage3v2_008190.jpg,train,stage3_000002.jpg,test,1,blue,square,grass,none,175,72,232,230,232,14.538,0.02245,motion,light,11,61.243,none,normal,none,none,none,none,size_bucket=large;augmentation=light_motion,eaebfcda22c5ee3e0301ef27ff46697748d3924d36d0b5375b24243d68f6a6df,ab4e3a949231f0d8c8a60abf945d33ad552e3d10d875e8a3785f24158ecbf19d
stage4_000002,stage4,stage4v2_009642.jpg,val,stage4_000002.jpg,val,1,red,square,soil,none,190,173,42,42,42,-16.619,0.00835,none,none,0,0,normal,normal,none,none,normal,none,size_bucket=very_small;augmentation=clean,6b0002408dd1c3394b050d0513700788400daad0bf34c844f2a4665d06f5ce0b,0cc3ff37f860e3fd617e25e9b6ba529373ce9c4fcad5cc88cfefac52b4e2a1cf
stage2_000002,stage2,stage2v2_001477.jpg,train,stage2_000002.jpg,train,0,none,background,soil,none,0,0,0,0,0,0.000,0.00000,none,none,0,0,none,normal,none,none,none,none,size_bucket=none;augmentation=clean,e73e22abf8c6a18f5c72dd12ad0186df65be9376672d76179918f52675a5312f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage1_000001,stage1,stage1_001903.jpg,val,stage1_000001.jpg,train,1,blue,square,plain_dark_gray,none,425,537,64,64,64,-1.933,0.00587,none,none,0,0,none,normal,none,none,none,none,size_bucket=small,71396a24757138bb529feecf588318afd9f8acb4729b10ecaa429632c6e66eb6,582556583e2951c17cedaeff8b4b19730a5e4d97b0df09c3e48e91168496e264
stage2_000003,stage2,stage2v2_014383.jpg,train,stage2_000003.jpg,train,1,blue,square,field_mixed,none,135,267,293,297,297,-29.934,0.00967,none,none,0,0,none,normal,none,none,none,none,size_bucket=large;augmentation=clean,52ae1306544588e6200f41c5a8c751770f4b7866e255bdb233d1a5d5e84a1897,c1c82210c5074cfbed263d49333d16d348df45874132d8867a49b44be9cd36a4
stage3_000003,stage3,stage3v2_001497.jpg,train,stage3_000003.jpg,test,1,red,square,field_mixed,none,307,385,135,133,135,19.592,0.03076,motion,medium,5,80.389,none,normal,none,none,none,none,size_bucket=medium;augmentation=medium_motion,9d384d7fd1e8d58beb5a58a73ead47c6116836255be6253705e9c9d9479a37b1,c329326634a37763c9bc5dfa025f5f5e03cc208129cba675a1c49990eeea23c9
stage3_000004,stage3,stage3v2_006123.jpg,train,stage3_000004.jpg,val,1,red,square,field_mixed,none,368,61,50,49,50,8.928,0.01561,none,none,0,0.000,none,normal,none,none,none,none,size_bucket=small;augmentation=clean,bfc2b382d5cf60b2bc339d4c82f4dfa09c41ba1b73c2566341e9d15dca2f2b67,d673cc8c34ef9601e206f29366fe5d4d86191eb87b9a7c01a666469c7f1208f6
stage2_000004,stage2,stage2v2_015896.jpg,train,stage2_000004.jpg,train,1,blue,square,field_mixed,none,509,66,68,69,69,4.027,0.03169,none,none,0,0,none,normal,none,none,none,none,size_bucket=small;augmentation=clean,9296d3f8d878f3d8a9800b0f6b2a73b9c11bd29a2c13f6e93a0045681a8cc98c,7a9e89e2c7a9305505fab308310e2e5b32a638daa7fde46567ef1d459b8fc7dc
stage4_000003,stage4,stage4v2_005937.jpg,train,stage4_000003.jpg,train,1,red,square,field_mixed,none,325,155,101,101,101,-13.563,0.00590,none,none,0,0,normal,normal,none,none,normal,none,size_bucket=medium;augmentation=clean,dd084b71acd287a9499711c3724db97e7812336edf0e6d70f347f40e06a5a3c9,8234aa1aab6828570e5897d4bc4a98c32b8efd109fe923a23cd2642fff9efe5a
stage2_000005,stage2,stage2v2_004598.jpg,train,stage2_000005.jpg,test,0,none,background,soil,none,0,0,0,0,0,0.000,0.00000,none,none,0,0,none,normal,none,none,none,none,size_bucket=none;augmentation=clean,cfbd72bbafc7077feb7e76114ebbb483c663e074a1625241e618180b423e0ee1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage3_000005,stage3,stage3v2_004735.jpg,train,stage3_000005.jpg,train,1,blue,square,field_mixed,none,437,410,135,134,135,-8.258,0.00520,none,none,0,0.000,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,86163946546a06eff018f64daf2b09f26220eda64882a6a104081ebceac0daa9,42ca8818be1b7b1b802d362f7eaa5aca28ab8dd14039194940f171517deb7237
stage3_000006,stage3,stage3v2_001119.jpg,train,stage3_000006.jpg,train,1,blue,square,field_mixed,none,149,337,238,238,238,-14.478,0.01828,motion,medium,11,28.257,none,normal,none,none,none,none,size_bucket=large;augmentation=medium_motion,4244c9dd035c0aa939a1d495a4d38345f015663cc8e758b645e1834c6ede3023,6832d976353f1aa5ed28f1220d999a46d6ecdd542b5f4758e35baae62e3266c9
stage4_000004,stage4,stage4v2_010144.jpg,train,stage4_000004.jpg,train,1,red,square,field_mixed,none,187,243,86,86,86,-12.017,0.00324,none,none,0,0,shadow,medium,medium,none,normal,none,size_bucket=medium;augmentation=shadow,176423e432da6013e170d26c19f71b935c7ed3ced4b984b4c8532b444bd0256f,cea06f55be9b080f7272530ff8a609067eb9cce455aaf82e941bd59ce78cc61c
stage4_000005,stage4,stage4v2_008271.jpg,train,stage4_000005.jpg,val,1,blue,square,field_mixed,none,183,167,129,129,129,-15.384,0.00624,none,none,0,0,shadow,medium,medium,none,normal,none,size_bucket=medium;augmentation=shadow,08d4f66a2d2b510d4acb294499467f2e0b1910651856ca53e61890b45b4d5b5d,091492de0d04d887c6676de9c07fa7b0fdf403fbfb3784ee5840f393239413c6
stage2_000006,stage2,stage2v2_008260.jpg,train,stage2_000006.jpg,train,0,none,negative,dry_grass,colored_cloth,0,0,0,0,0,0.000,0.00000,none,none,0,0,none,mild,none,none,none,none,size_bucket=none;augmentation=mild_light;negative=colored_cloth,09534b252a802ce3294f26efb20ad53d91f49981a9428c54ab8ef441a0ce570b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage1_000002,stage1,stage1_003509.jpg,train,stage1_000002.jpg,train,1,blue,square,gray_noise,none,61,353,210,208,210,5.078,0.00265,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium_large,8ccaca599b025f448188b9ee39783662fbc9f8af382c3efdf9c7e6d9e146183d,c34c633ab043e13cccf6198b2f430c8aba170a11b76ec7290a71f1b6cfdcc34a
stage2_000007,stage2,stage2v2_002737.jpg,train,stage2_000007.jpg,train,1,blue,square,grass,none,411,390,150,147,150,-15.966,0.01180,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,6ee3f9ba5e96fd38d6149c99f405d518ee6993d0f6e97b4246858e3df33c71ba,427a5a598fc3b98bbb51720b97548c811d7def4188582ac0be2393841c70e108
stage3_000007,stage3,stage3v2_001621.jpg,train,stage3_000007.jpg,train,1,red,square,field_mixed,none,54,173,85,85,85,11.064,0.00639,motion,medium,7,61.059,none,normal,none,none,none,none,size_bucket=medium;augmentation=medium_motion,ad511b57a55a778eca5eb6301434ee09b30c395c9adcae4e76fe6adf80f72eca,f11381b43c828ef2a0022d33b86951f5357839a1785eb8be3a0f52e2e308f944
stage2_000008,stage2,stage2v2_002716.jpg,train,stage2_000008.jpg,train,1,red,square,grass,none,175,321,61,59,61,-12.843,0.02450,none,none,0,0,none,normal,none,none,none,none,size_bucket=small;augmentation=clean,b666b421efb5d2c2a749474dafd782537e09feff357c25b65a22e1ef7a6f9768,f5ec9c280d5d395e7ce63feebe41bdd7ad298d185d3db3e516179475827979b0
stage3_000008,stage3,stage3v2_000731.jpg,train,stage3_000008.jpg,train,0,none,background,grass,none,0,0,0,0,0,0.000,0.00000,none,none,0,0.000,none,normal,none,none,none,none,size_bucket=none;augmentation=clean,73d23b452dda20eb41fbcdaeab2bdfde394630d44f7118164a0fcc1d3a58126e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
stage2_000009,stage2,stage2v2_003713.jpg,train,stage2_000009.jpg,train,1,red,square,soil,none,232,344,190,187,190,-17.298,0.01690,none,none,0,0,none,normal,none,none,none,none,size_bucket=large;augmentation=clean,056323c4f3e3497fcdf910ac5a4c977c8eeb6273b1f3ad3a6296f0f6ffecd206,42724a89bab5e632ea6b4eae070763260229072a7f65fa8a0ed2d86405efd081
stage2_000010,stage2,stage2v2_003220.jpg,train,stage2_000010.jpg,train,1,blue,square,grass,none,23,274,157,158,158,12.182,0.02551,none,none,0,0,none,normal,none,none,none,none,size_bucket=medium;augmentation=clean,9645e3039eb6b2377376dc1c4a30ecd5f9acc9d5450f437001985e98a2c56652,388a6ebdae29f87d90aaa8420bd20bd78c2130102acd1c61b7824d6606f0eb67
stage4_000006,stage4,stage4v2_004800.jpg,train,stage4_000006.jpg,val,1,red,square,field_mixed,none,212,214,140,145,145,-7.843,0.02829,none,none,0,0,shadow,medium,medium,none,normal,none,size_bucket=large;augmentation=shadow,97e9f875977137c456610855d338a17abbc0959cfd7ba2f80ef055eff37673c1,f0bf5f827fabe3b28876b1f37f80a274ba27f84f124202bc91a6dfc18303d4b7
