image_name,has_target,hit,missed,false_positive,pred_count,best_iou,source_stage,target_color,blur_level,lighting_type,shadow_level,glare_level,exposure_level,bbox_size_bucket
stage3_000002.jpg,true,True,False,False,1,0.9623,stage3,blue,light,none,none,none,none,large
stage3_000003.jpg,true,True,False,False,1,0.9682,stage3,red,medium,none,none,none,none,medium
stage2_000005.jpg,false,False,False,False,0,0.0,stage2,none,none,none,none,none,none,none
stage2_000013.jpg,false,False,False,False,0,0.0,stage2,none,none,none,none,none,none,none
stage2_000014.jpg,true,True,False,False,1,0.9556,stage2,red,none,none,none,none,none,very_small
stage3_000012.jpg,true,True,False,False,1,0.9607,stage3,red,medium,none,none,none,none,small
stage3_000013.jpg,true,True,False,False,1,0.978,stage3,red,light,none,none,none,none,large
stage2_000033.jpg,true,True,False,False,1,0.967,stage2,red,none,none,none,none,none,medium
stage4_000023.jpg,true,True,False,False,1,0.9665,stage4,blue,none,sunny,none,none,mild_over,large
stage2_000041.jpg,true,True,False,False,1,0.9677,stage2,blue,none,none,none,none,none,small
stage4_000029.jpg,true,True,False,False,1,0.9731,stage4,blue,none,glare,none,medium,mild_over,medium
stage4_000030.jpg,true,True,False,False,1,0.9717,stage4,red,none,normal,none,none,normal,medium
stage1_000014.jpg,true,True,False,False,1,0.9688,stage1,red,none,none,none,none,none,small
stage4_000033.jpg,true,True,False,False,1,0.9523,stage4,red,none,sunny,none,none,mild_over,small
stage4_000036.jpg,true,True,False,False,1,0.9764,stage4,blue,none,normal,none,none,normal,medium
stage2_000052.jpg,false,False,False,False,0,0.0,stage2,none,none,none,none,none,none,none
stage4_000047.jpg,true,True,False,False,1,0.9675,stage4,red,none,normal,none,none,normal,medium
stage2_000067.jpg,true,True,False,False,1,0.9625,stage2,blue,none,none,none,none,none,medium
stage2_000069.jpg,true,True,False,False,1,0.9643,stage2,blue,none,none,none,none,none,small
stage3_000054.jpg,true,True,False,False,1,0.914,stage3,red,none,none,none,none,none,very_small
stage2_000097.jpg,true,True,False,False,1,0.9732,stage2,red,none,none,none,none,none,medium
stage1_000033.jpg,true,True,False,False,1,0.977,stage1,blue,none,none,none,none,none,large
stage2_000104.jpg,true,True,False,False,1,0.9679,stage2,blue,none,none,none,none,none,small
stage2_000111.jpg,true,True,False,False,1,0.98,stage2,red,none,none,none,none,none,medium
stage4_000074.jpg,false,False,False,False,0,0.0,stage4,none,none,normal,none,none,normal,none
stage4_000079.jpg,true,True,False,False,1,0.9582,stage4,blue,none,shadow,medium,none,normal,large
stage4_000083.jpg,true,True,False,False,1,0.9366,stage4,red,none,normal,none,none,normal,very_small
stage2_000128.jpg,true,True,False,False,1,0.9753,stage2,blue,none,none,none,none,none,large
stage2_000139.jpg,true,True,False,False,1,0.9588,stage2,blue,none,none,none,none,none,large
stage1_000045.jpg,true,True,False,False,1,0.9675,stage1,blue,none,none,none,none,none,small
stage2_000150.jpg,true,True,False,False,1,0.9689,stage2,red,none,none,none,none,none,small
stage2_000154.jpg,true,True,False,False,1,0.9726,stage2,blue,none,none,none,none,none,medium
stage2_000156.jpg,true,True,False,False,1,0.9732,stage2,red,none,none,none,none,none,medium
stage3_000100.jpg,true,True,False,False,1,0.9635,stage3,blue,none,none,none,none,none,large
