epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,615.005,0.49739,0.58547,0.85567,0.99642,0.99947,0.99388,0.90339,0.43913,0.30505,0.80972,0.00999762,0.00333254,0.00999762,0.00333254,0.00999762,0.00333254,0.00999762,0.00333254
2,1075.64,0.50178,0.36188,0.86258,0.99743,0.99917,0.99418,0.9179,0.37491,0.25692,0.79734,0.0196677,0.00655589,0.0196677,0.00655589,0.0196677,0.00655589,0.0196677,0.00655589
3,1484.93,0.49552,0.34142,0.86738,0.99511,0.99751,0.99467,0.92663,0.37258,0.2425,0.79922,0.0290077,0.00966923,0.0290077,0.00966923,0.0290077,0.00966923,0.0290077,0.00966923
4,1882.85,0.46963,0.31741,0.86109,0.99724,0.999,0.99472,0.94651,0.3284,0.21378,0.79002,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,2280.13,0.44196,0.29325,0.85439,0.99611,0.99972,0.99465,0.96207,0.30054,0.19966,0.78664,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,2675.49,0.42015,0.27403,0.84629,0.99849,0.99972,0.9949,0.96856,0.27593,0.17976,0.78056,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,3083.68,0.40733,0.26294,0.84278,0.99787,1,0.99473,0.98039,0.23572,0.16662,0.77548,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,3480.86,0.39598,0.25396,0.83888,0.99868,1,0.99484,0.98624,0.19915,0.15214,0.76833,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,3875.69,0.38798,0.24497,0.83578,0.9985,1,0.99486,0.98784,0.181,0.13989,0.76658,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,4281.91,0.38123,0.24101,0.83589,0.99858,1,0.99477,0.98761,0.18413,0.13529,0.76817,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,4679.6,0.37474,0.23508,0.83144,0.9989,0.99994,0.99493,0.98923,0.18104,0.13356,0.76491,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,5076.09,0.32532,0.2184,0.82417,0.99831,1,0.9948,0.99152,0.1569,0.11869,0.76107,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,5471.81,0.29475,0.20361,0.81636,0.99881,1,0.99488,0.9915,0.15472,0.11409,0.76323,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,5868.61,0.28386,0.19884,0.81475,0.99848,1,0.99483,0.99154,0.14893,0.11006,0.7618,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,6265.48,0.27905,0.19466,0.81259,0.99857,1,0.99485,0.99154,0.14542,0.10722,0.75942,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,6662.58,0.27395,0.19226,0.81233,0.9986,1,0.99487,0.9916,0.14539,0.10615,0.75926,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,7058.47,0.26707,0.18815,0.81045,0.99856,1,0.99484,0.99162,0.14554,0.10342,0.75998,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,7455.75,0.26564,0.18797,0.81104,0.9986,1,0.99484,0.99158,0.1417,0.10181,0.75919,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,7876.49,0.26274,0.18353,0.80881,0.99856,1,0.99488,0.99165,0.14061,0.09952,0.75861,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,8273.97,0.26063,0.18155,0.80897,0.99849,1,0.99487,0.99259,0.13854,0.09695,0.75801,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,8670.37,0.25665,0.18013,0.80798,0.99833,1,0.99489,0.99261,0.1387,0.09782,0.75732,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,9066.8,0.25281,0.17842,0.80684,0.99849,1,0.99489,0.99162,0.13756,0.09673,0.75706,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,9462.13,0.25211,0.17694,0.80682,0.99855,1,0.99489,0.99166,0.13648,0.09502,0.75728,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,9855.05,0.25105,0.1767,0.8057,0.99891,1,0.9949,0.99266,0.13513,0.09445,0.75756,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,10251.1,0.24595,0.17468,0.80692,0.99888,1,0.9949,0.99268,0.13416,0.09391,0.7575,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,10648.1,0.24432,0.17204,0.80665,0.99885,1,0.9949,0.99268,0.1331,0.0931,0.7574,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,11043.2,0.245,0.17064,0.80424,0.99887,1,0.9949,0.99268,0.13272,0.09252,0.75698,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,11446.1,0.24238,0.16866,0.80292,0.99888,1,0.9949,0.99267,0.13278,0.09196,0.75692,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,11842.8,0.23955,0.16686,0.80428,0.99889,1,0.99491,0.99268,0.13241,0.09097,0.75702,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,12237.9,0.23819,0.16604,0.8042,0.99889,1,0.99491,0.9927,0.13173,0.09014,0.75674,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,12635,0.23747,0.16367,0.8035,0.99895,1,0.99491,0.99269,0.13149,0.09003,0.75661,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,13030.3,0.23307,0.1619,0.8034,0.999,1,0.99491,0.99269,0.13125,0.08922,0.75649,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
